# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
harmony-trigger-git_poll,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-04,0.34,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-05,12.09,24.05,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-06,0.00,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-07,0.00,44.73,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-nightly-master,2015-12,15.92,94.20,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-01,8.23,9.29,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-02,1.01,42.25,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-03,5.01,51.73,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-04,8.89,42.05,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-05,6.00,52.05,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-06,12.16,122.10,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
harmony-trigger-nightly-master,2016-07,11.39,192.93,http://manhattan.ci.chef.co/job/harmony-trigger-nightly-master/
omnibus-toolchain-trigger-ad_hoc,2016-02,1.25,98.97,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-ad_hoc,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-ad_hoc,2016-04,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-ad_hoc,2016-05,0.00,85.57,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-ad_hoc,2016-06,23.23,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-ad_hoc,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-ad_hoc/
omnibus-toolchain-trigger-git_poll,2015-12,1.87,174.95,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-01,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-02,0.46,99.65,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-04,15.07,77.33,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-05,30.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-06,16.85,451.30,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-git_poll,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-git_poll/
omnibus-toolchain-trigger-release,2015-12,0.12,19.28,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-01,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-02,0.13,104.32,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-03,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-04,0.05,59.43,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-05,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-06,0.04,119.92,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
omnibus-toolchain-trigger-release,2016-07,0.00,0.00,http://manhattan.ci.chef.co/job/omnibus-toolchain-trigger-release/
push-jobs-client-trigger-ad_hoc,2016-01,18.29,0.00,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-ad_hoc,2016-02,24.91,45.04,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
push-jobs-client-trigger-ad_hoc,2016-03,0.00,106.23,http://manhattan.ci.chef.co/job/push-jobs-client-trigger-ad_hoc/
